IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.60.115.44,2053,443,TRUE,ARN,Europe,Stockholm,235,13.1
4.188.7.41,2053,443,TRUE,BOM,Asia Pacific,Mumbai,122,10.6
54.213.215.13,2053,443,TRUE,SEA,North America,Seattle,183,9.57
3.78.24.246,2053,443,TRUE,FRA,Europe,Frankfurt,204,8.81
34.213.125.194,2053,443,TRUE,SEA,North America,Seattle,185,8.74
13.50.181.204,2053,443,TRUE,ARN,Europe,Stockholm,246,8.32
3.144.80.78,2053,443,TRUE,CMH,North America,Columbus,219,8.18
16.63.233.188,2053,443,TRUE,MXP,Europe,Milan,204,7.98
13.201.27.214,2053,443,TRUE,BOM,Asia Pacific,Mumbai,333,7.8
99.80.78.243,2053,443,TRUE,DUB,Europe,Dublin,240,6.77
8.219.129.170,2053,443,TRUE,SIN,Asia Pacific,Singapore,235,6.72
16.171.114.20,2053,443,TRUE,ARN,Europe,Stockholm,250,6.67
40.127.8.70,2053,443,TRUE,JNB,Africa,Johannesburg,249,6.06
16.170.220.15,2053,443,TRUE,ARN,Europe,Stockholm,210,6
54.171.66.64,2053,443,TRUE,DUB,Europe,Dublin,233,5.98
54.177.215.172,2053,443,TRUE,SJC,North America,San Jose,175,5.83
96.0.24.249,2053,443,TRUE,CPH,Europe,Copenhagen,228,5.5
3.249.170.21,2053,443,TRUE,DUB,Europe,Dublin,242,5.33
20.215.200.208,2053,443,TRUE,WAW,Europe,Warsaw,270,5.1
18.175.224.91,2053,443,TRUE,LHR,Europe,London,233,4.95
34.240.33.147,2053,443,TRUE,DUB,Europe,Dublin,230,4.64
129.146.242.24,2053,443,TRUE,LAX,North America,Los Angeles,185,4.51
132.145.54.84,2053,443,TRUE,LHR,Europe,London,253,4.48
3.1.116.161,2053,443,TRUE,SIN,Asia Pacific,Singapore,71,4.16
158.178.206.197,2053,443,TRUE,CDG,Europe,Paris,269,3.83
18.194.183.74,2053,443,TRUE,FRA,Europe,Frankfurt,218,3.33
38.6.158.133,2053,443,TRUE,LAX,North America,Los Angeles,183,2.86
3.79.109.87,2053,443,TRUE,FRA,Europe,Frankfurt,228,2.55
